sample_id,mean_r,mean_g,mean_b,var_r,var_g,var_b,mean_ndi,yellow_ratio,brown_ratio,green_ratio,label,class_name
aug_1_1970,0.4678052109754727,0.4932834058184344,0.31480955574416364,0.01650758679993155,0.04671965541372122,0.011299665752326674,0.03398197544976599,0.17737970989254292,0.30225617448889924,0.5203641156185578,1,Yellow Leaf Disease
aug_1_2560,0.5560211030131342,0.6705492819353525,0.11865002225535545,0.03935541193496743,0.02207468466907811,0.022265983442005848,0.11317844107124284,0.382728360639666,0.0001382516549008392,0.6171333877054331,1,Yellow Leaf Disease
aug_1_3580,0.4398694693383468,0.5010704848194562,0.3921998557530112,0.021369237890868028,0.009150065693532241,0.00978568396290708,0.046957591032809554,0.17735869264568882,0.11672246527359027,0.705918842080721,1,Yellow Leaf Disease
aug_0_0304,0.3217274852081789,0.47836239100760514,0.24506159024622357,0.04947852919474629,0.04822258904306027,0.03068028238118141,0.2161355301314577,0.012809515248536851,0.13765490575952935,0.782249582703364,0,Healthy Leaf
aug_2_0242,0.4052123746228837,0.2869925229803588,0.3126662211083815,0.05605057274503722,0.05558442092952408,0.013559906076843172,-0.16232951126599932,0.08040864960825062,0.3708922229458381,0.0,2,Bud Rot
aug_0_3909,0.5030742192281511,0.5458422050858162,0.16253964044056657,0.0655310675429613,0.0533448465487729,0.028387950893141205,0.1499776460848597,0.2836175097367676,0.16460128058846152,0.5517812096747707,0,Healthy Leaf
aug_0_1035,0.41886666242408743,0.6124565267430395,0.19140256732637131,0.04271686426733458,0.03388526974618198,0.03010920467872404,0.18617060466240976,0.21530817643585523,0.028383267939610973,0.7563085556245338,0,Healthy Leaf
aug_3_2185,0.44161088846454577,0.4175318607947548,0.2657727456529436,0.02316468797605564,0.029851294939634922,0.030472114176818006,0.025841429563704513,0.16939621776061123,0.24792466445691105,0.4832063785516717,3,Spindle Bug Infestation
aug_0_3383,0.5300362867249427,0.566599727577631,0.40316378108770295,0.01548318484186945,0.02606631329893492,0.027351905172894504,-0.00772504411163287,0.11019695849990382,0.12522520301151718,0.45674617451645483,0,Healthy Leaf
aug_2_3463,0.5099766848035849,0.5061764006613412,0.44468724855325764,0.0745903168587716,0.06927759496034383,0.07624533886380068,-0.1071485080511172,0.07422067732507888,0.13726737990130639,0.45986466151690186,2,Bud Rot
aug_2_2915,0.5429598888821024,0.5006124567829436,0.44424437741944234,0.06984132754312432,0.07244363240272249,0.08309067350579376,-0.015602177503438789,0.05303459842952282,0.12314424917548476,0.4626368383738387,2,Bud Rot
aug_0_3571,0.5692277955033702,0.5686229673562033,0.3031117154018624,0.026756074145515396,0.023358041702889194,0.05754201954699089,0.10393546721188554,0.31769055161596216,0.052160886326170164,0.6301485620578676,0,Healthy Leaf
aug_0_3745,0.3942905394017829,0.4169675885053704,0.19056549966168385,0.05976593282325682,0.0520962225197591,0.06419857065962062,0.07367536929739668,0.1474963680390139,0.1525564356094548,0.6999471963515315,0,Healthy Leaf
